4770282319107946|10|2031|640
4770282642268803|04|2032|595
4770282499390601|04|2029|910
4770282071552917|12|2027|819
4770282204931251|09|2029|194
4770282750498267|02|2027|730
4770282164383642|06|2030|472
4770282930144724|09|2032|316
4770282542539709|06|2028|661
4770282012575795|06|2031|645
4770282218201550|01|2031|976
4770282532033127|11|2031|375
4770282440954653|12|2031|403
4770282444549715|11|2024|648
4770282387433620|02|2029|855
4770282237167949|06|2030|453
4770282528179520|05|2027|972
4770282948982933|02|2028|719
4770282563953722|07|2030|237
4770282736800743|05|2032|333
4770282783646767|10|2025|376
4770282439237532|12|2024|414
4770282844420343|05|2031|900
4770282178217034|06|2029|745
4770282394601391|09|2031|883
4770282449623341|06|2029|627
4770282602560637|02|2030|839
4770282707410886|12|2027|400
4770282055729390|09|2032|327
4770282167123748|12|2031|137
4770282167024052|11|2027|849
4770282863848457|10|2027|341
4770282035066723|12|2024|460
4770282464323868|05|2029|383
4770282614002198|01|2030|593
4770282662124308|08|2028|592
4770282544163516|09|2028|537
4770282634491504|01|2030|446
4770282128483041|11|2024|581
4770282967540083|04|2029|217
